10000 19994
0 2920 -6276
0 5335 -11983
0 6967 -19970
0 8141 17037
1 163 -2199
1 635 16243
1 1013 -12251
1 4504 13047
1 5736 -8168
1 9725 9958
2 2519 -18350
2 3756 -16741
2 7545 -652
2 9511 8329
3 1057 -7
3 2268 15589
3 2533 -17236
3 3688 14273
4 1593 -5350
4 4442 14231
4 7241 18120
4 8739 17758
5 241 -12545
5 245 7937
5 2461 18174
5 6761 18330
6 1224 9582
6 4462 15399
6 5132 -9029
6 9083 14832
7 2383 -15726
7 3657 -4117
7 6945 -9546
7 7572 8563
8 1593 -17696
8 4655 7503
9 111 9853
9 174 -19808
9 814 -6592
9 1526 756
9 6754 -11934
10 434 15054
10 2317 382
10 6502 -13595
10 6854 17156
11 6994 7859
11 7814 1269
11 7871 11134
12 801 -876
12 3597 -19936
12 4063 -16957
12 4684 -19654
12 5159 19265
12 5781 -13850
12 6800 6641
13 4922 11249
13 6394 -18141
14 4968 15900
14 9089 3907
15 3740 -7087
15 6064 6281
15 6545 8144
15 6571 -3803
15 8283 8577
15 8915 -12576
15 9103 -321
16 3336 16700
16 6748 11976
16 8540 -7866
17 1028 -18721
17 1872 1884
17 2138 -3279
17 6672 6096
18 2687 -14659
18 2876 -4408
18 3112 712
18 4289 -19148
19 946 -16499
19 2674 -10934
19 6055 -7695
19 7161 13741
20 4176 -5677
20 4942 10383
20 8061 -1435
21 2797 2297
21 5772 15164
21 7191 5360
21 7633 3098
22 70 15946
22 2167 15846
22 9594 19394
23 1496 4522
23 2751 9728
23 9798 -8387
24 444 3514
24 1867 12243
24 6771 6008
24 7320 -8706
25 7333 11802
25 7539 -697
25 8436 -15814
25 8906 6322
26 369 -13098
26 416 18846
26 5529 -2782
26 8459 15555
27 1196 713
27 4048 17076
27 4860 11962
27 5497 -16292
28 3634 -2714
28 3847 -11863
28 8933 11652
29 2029 8838
29 2752 2080
30 425 -4395
30 779 9515
30 2957 3254
30 7333 -17447
30 7934 15495
31 1278 13891
31 5330 9100
31 6148 17449
31 7207 -3394
32 1700 -1676
32 2421 19404
32 2698 -19503
32 6606 -12853
33 73 7954
33 5565 -7589
33 8976 -15818
33 9022 -18795
34 4297 -13496
34 6269 -5459
34 8709 -6317
35 4183 15410
35 5878 -19828
35 7219 -8135
35 8262 16595
36 159 -5280
36 405 19822
36 512 -15702
36 5549 -15666
37 3701 8123
37 6750 8
37 9595 2592
38 140 -16077
38 2213 -19668
38 3247 940
38 5780 -7643
39 848 -9830
39 1572 114
39 9758 -110
40 1195 -15237
40 3980 11997
41 3309 -2362
41 3782 -11964
41 6738 -5846
41 6877 1664
41 9524 -8859
42 3439 -19153
42 8149 -429
43 1831 11551
43 2398 10334
43 4004 8643
43 4584 -10978
44 276 -19926
44 7350 17439
44 9185 3992
45 1033 -11669
45 3752 12787
45 7081 8586
46 2016 9230
46 3670 690
46 5099 -6838
46 5911 3694
46 7540 4842
47 151 9178
47 1619 -10738
47 6853 1006
47 9410 6154
47 9658 4251
48 881 -11968
48 2019 6621
48 2622 -4122
48 4924 -13142
48 7771 -11579
48 8753 -14161
49 1334 5960
49 4525 8357
49 5584 -9306
49 6826 9663
50 265 5536
50 3369 -10984
50 4820 7741
50 5509 -3430
50 6187 -109
50 9607 9417
51 657 -17079
51 1740 14647
51 4404 -9651
51 6126 -17422
51 6846 -3456
52 1549 9671
52 2417 11538
52 2567 7103
52 8687 -10334
53 3412 -2108
53 3927 18886
53 7465 13613
53 8147 -16726
54 976 2123
54 1490 -3720
55 1343 7359
55 5852 14639
56 1230 18573
56 5971 5713
56 6770 14358
56 7154 -6327
57 398 -7787
57 1301 2610
57 4497 -7060
57 7525 10356
57 8701 2068
58 237 -7563
58 1560 16185
58 3947 -5656
58 6729 14946
58 7314 2895
58 8229 7330
59 3839 -6926
59 5868 19242
59 9659 5078
60 204 4899
60 2480 2808
61 4840 4676
61 4975 -18448
62 1605 -2225
62 2486 -13473
62 7651 -1886
62 8922 -4161
62 9471 -8922
63 3532 7234
63 4044 -6720
63 9142 -8409
64 3195 11581
64 3424 8729
64 3938 15192
64 8241 7701
65 2589 16804
65 5106 5297
65 6579 -19628
65 8445 -8231
66 417 2548
66 838 6105
66 4767 418
66 4854 19986
67 5218 6822
67 8213 -14748
68 921 10798
68 2893 15386
68 4063 -3160
68 7168 9456
68 7288 -7328
68 8498 -10748
69 1624 -14287
69 6743 -13964
69 6896 -1974
69 8234 5440
69 8354 -10965
70 973 -3701
70 2406 17925
70 2909 9223
70 8925 -2643
71 1688 -695
71 3036 -4205
71 4153 11161
71 4847 1872
71 7500 3976
71 8725 -10073
71 9381 13163
72 614 -4459
72 1793 17853
72 2693 4830
72 4480 -286
72 4816 -17467
72 7548 16543
73 4556 -17858
73 5791 -3173
74 891 -4623
74 4597 5899
74 5208 8675
75 2433 -4640
75 6932 -6920
75 7102 10111
75 8296 -677
75 9069 -18470
75 9664 -12205
76 1004 -10760
76 4221 -19702
76 5994 3701
76 6434 -9159
77 3245 -6395
77 3396 -16742
77 4465 17876
78 1892 -211
78 3157 -2841
78 7739 -13209
78 9233 5726
79 2746 -7900
79 5847 -4667
79 6909 11925
79 7085 19795
79 8905 -13566
80 4097 10083
80 4360 19313
80 5269 -6157
80 5689 -15844
80 6211 -9968
80 6523 13718
80 9039 16854
80 9286 -780
81 1466 -19987
81 3292 18063
81 5176 -17416
81 8544 11429
82 1281 7680
82 3849 -11110
82 4127 -15006
82 8863 -424
82 9776 14761
83 4218 4744
83 4232 -5060
83 5983 12634
83 6884 14067
84 464 -10672
84 2096 -17813
84 3180 -15431
84 3894 -8876
84 4116 9167
84 4358 1064
84 8006 3690
84 8276 7027
85 337 5239
85 1480 -19714
85 2886 -2611
85 7041 4744
85 8544 14977
86 1173 6681
86 1217 -9423
86 3852 6706
86 5297 -17090
87 1447 16215
87 2733 17518
87 3422 -15567
87 8419 2348
87 9240 -19896
88 4355 5752
88 7973 -14648
89 488 19141
89 1422 10038
89 4260 11665
90 1275 8074
90 7020 16250
90 7342 -17334
91 3890 -14578
91 4743 -15330
92 2256 12063
92 2314 -2000
92 9944 -4687
93 569 -11581
93 1608 -3756
93 5284 -4101
93 7811 -1080
94 2412 -13790
94 4371 140
94 5641 5821
94 8546 -15099
95 2570 -12359
95 7276 -9304
95 8436 9976
95 9465 -4576
96 4547 2131
97 3482 -13058
97 7438 11622
98 6791 -14010
98 7210 17302
98 9412 -5017
98 9964 1606
99 2885 -3230
99 5051 5627
99 5062 4883
99 7159 785
100 1121 -7114
100 3066 18469
100 3690 -12158
100 5367 11416
100 6373 12056
101 1421 8257
101 3845 16784
101 5317 6169
101 7079 6322
101 7406 3699
101 7567 -18617
102 1543 8356
102 4794 4651
102 7415 -18324
102 9113 365
102 9585 7477
103 920 -3546
103 1145 5795
103 6854 9902
103 7754 -13663
104 2415 -12730
104 2700 -16429
104 3216 -6607
104 7615 -14938
105 1882 13038
105 4976 7962
106 1340 8626
106 5021 3593
106 5971 -8455
107 314 18798
107 1454 13191
107 3371 8944
107 4945 8177
107 7394 -13142
107 8308 12813
107 8381 -17923
107 9671 -19624
108 1703 -15574
108 2801 -14254
109 2341 -5681
109 4021 9377
109 5083 5600
109 6426 3707
110 1606 17975
110 3438 -18410
110 5251 15648
111 2463 -10615
112 2479 10483
112 4402 -1853
112 9699 18637
112 9753 14936
113 2845 -18725
113 3061 -17510
113 7065 -9503
113 7318 -18181
114 4728 15607
114 9432 -4565
115 1480 -15187
115 3630 -7491
115 4095 12562
116 2085 -10442
116 2528 -258
116 5241 5726
116 8640 160
117 696 2357
117 2331 8010
117 3706 -16552
117 7172 -5612
117 7669 2169
118 909 -4449
118 1374 1010
118 4042 13509
118 4477 -3653
119 644 10909
119 823 -13722
119 7169 1843
119 7477 -10375
120 2315 15000
120 7987 -7164
121 373 -14385
121 8352 7047
121 8799 -2281
121 9509 -3498
122 479 2893
122 3526 -509
122 5927 12398
122 6414 12724
122 6679 -3407
122 6839 -16533
122 9426 -9337
123 211 12389
123 2349 -36
123 6124 10556
123 8103 -1526
123 9259 -10861
124 589 -17716
124 895 -5819
124 2230 15408
125 4549 7715
125 4821 2866
125 6334 17921
125 6365 -10875
125 7517 19624
125 8698 -7311
126 1612 -5339
126 5332 -9702
126 5625 3324
126 6427 3490
127 613 12299
127 1484 -1423
127 8719 6773
128 2785 15312
128 4077 -10891
128 4924 -19528
129 1931 13912
129 9089 13453
130 625 -1270
130 6371 -13645
130 6803 17575
130 7160 9396
130 8147 17868
131 559 8815
131 2695 18808
131 4410 6760
131 7743 -19282
131 7872 -4968
132 1441 -2551
132 4727 -17553
132 9163 -1247
132 9367 8382
133 2856 -1895
133 5122 -4005
133 8639 4096
134 2590 7498
134 3514 -17060
134 5101 3128
134 6010 -13245
135 209 -9128
135 6917 14270
135 7528 -1003
136 4024 10781
136 4967 15626
136 8981 -12458
136 9132 -18717
137 4114 -5928
137 4773 306
137 5551 13117
137 7623 4000
138 867 10050
138 3549 15487
138 6347 11136
138 7442 5591
139 4070 14509
139 6867 17219
139 8839 -8008
140 3779 -13419
140 5486 18388
140 8434 -9154
141 3958 2407
141 4680 -12640
141 4860 1935
141 5753 17361
142 8305 -6715
142 8642 10137
142 9231 -1738
142 9882 6877
143 2101 2196
143 2338 -14101
143 4808 -6411
144 715 -18562
144 7950 -246
145 4353 -14467
145 7930 -6817
145 8438 1526
145 9779 8513
146 794 -17718
146 5619 -13238
147 1213 975
147 3271 -4690
147 6697 18158
148 2798 17164
148 9006 -19963
149 7987 -10094
149 9082 -18028
149 9484 -6599
150 1973 5502
150 6904 -18690
150 7484 6757
151 1595 -12871
152 1383 -12842
152 1724 17590
152 5597 17408
152 6419 19840
152 9785 -4996
153 4597 14120
153 4997 -5203
153 9738 -15993
154 5376 -9844
154 6584 18496
154 8991 -15159
154 9857 4448
155 1373 8634
155 1997 -17039
155 7092 17534
156 5043 11190
156 7037 -1410
156 9809 8375
157 1305 -6472
157 1690 -2484
157 8668 -8304
157 9186 -15025
158 1300 2822
158 1370 4570
158 7538 -15827
158 9428 -11634
159 1775 11240
159 3870 10378
159 5009 7045
160 529 13071
160 2205 15052
161 5390 -1482
161 5650 4908
161 6595 9678
161 8441 4327
161 8696 16644
161 9552 11760
162 1000 -16314
162 4483 1131
162 5754 12396
162 8633 8329
163 3656 10983
163 4847 18849
163 6463 -15289
164 456 -2945
164 706 9124
164 1357 -19889
164 2600 19139
164 7618 -17077
164 7679 3920
164 7867 3435
165 1133 -15974
165 2036 14357
165 3224 18158
165 7513 12237
165 7882 -17254
166 5040 -315
166 6794 -16213
166 7094 15799
166 9103 15310
167 3896 -15221
167 5153 8883
167 5199 -17600
168 3447 -11150
168 6356 -3321
168 7765 -11197
168 7906 4763
168 9968 7310
169 457 -2567
169 2704 -11317
169 3842 -10898
169 4388 -1813
170 3066 -2979
170 4940 -19787
171 299 11449
171 2852 6290
171 3088 17299
171 4023 -13301
171 4105 -17540
171 4501 998
172 5193 6149
172 6137 11547
173 5384 15204
173 6407 5358
173 7087 -4572
173 8284 8856
173 9019 6739
173 9304 -18250
174 8058 -325
174 9432 -5075
175 2079 15990
175 7079 -7900
176 2777 -14525
176 4459 -2763
176 5591 -11599
176 6491 -17336
177 1094 -15556
177 6721 15580
177 6773 13703
177 6790 -9578
178 7793 12480
178 8572 13377
178 8897 1895
178 9366 -6699
179 384 13818
179 837 -18753
179 3925 19501
179 4258 6567
179 5924 16377
179 7489 5036
179 8530 -4770
179 9506 4309
180 5208 11798
180 5854 17598
180 6463 -6811
181 272 -2999
181 761 -2438
181 2675 9537
181 3280 -19182
182 3372 2297
182 9240 17136
182 9633 8137
183 1751 9253
183 5174 6558
183 9980 -9439
184 318 -4793
184 4446 11941
184 4572 2091
184 5266 16841
184 7688 -13043
184 8513 -6106
185 854 -10439
185 5094 -19558
185 5235 -1981
185 6146 19215
186 291 -11179
186 4026 -12317
186 6041 5087
186 6132 3889
186 7017 -6587
186 9569 -3018
187 1208 289
187 1396 13189
187 2625 -6013
187 6162 -2155
187 9416 -17534
188 7518 -17438
188 8540 4045
188 9845 12880
189 1523 -196
189 2542 2826
189 5571 -19788
190 2778 14978
190 3634 -18001
190 4805 4948
190 9252 11305
190 9693 -6255
191 6054 -3422
191 6770 6070
191 7162 -7902
192 4550 13235
192 4815 1616
192 5021 -17744
192 6355 -5559
193 7917 -17771
193 8437 -305
194 500 -3275
194 7442 -7846
194 9820 3196
195 2903 -681
195 3255 2693
195 3383 -4417
195 9654 11811
196 4043 17734
196 9134 -7057
197 1404 18151
197 1792 19139
197 4661 11903
197 9324 -2591
198 518 12881
198 1498 3748
198 4554 -4362
198 7001 -17856
198 8217 6813
199 774 -5385
199 2114 -7796
199 3603 11045
199 4900 -14231
199 6586 -11268
199 7068 -12805
199 9869 -12494
200 5270 6878
200 6267 8209
201 4569 -4221
201 6101 -2680
201 7782 -1279
202 7882 15817
202 8052 19704
202 8892 11053
203 6187 -8447
203 6671 -15042
204 546 5954
204 617 10470
204 8254 9196
204 9184 -5252
205 880 8624
205 2581 13070
205 2900 19713
205 3024 -6686
205 3430 5480
205 9133 1790
206 1011 -3305
206 6770 -12192
207 4069 -6754
207 5525 -4820
207 9153 -4203
208 1995 -14510
208 2534 -6411
208 3739 6476
208 5132 4536
208 9451 10880
209 4590 -11959
209 6385 5606
209 8418 14706
210 3523 -18510
210 3900 -12691
210 4196 -1588
210 5128 -17190
210 5355 2565
211 1498 -5120
211 4329 2653
211 6879 -5891
212 4422 -19337
212 6203 751
212 6829 -6329
212 7860 -17555
212 9553 18851
213 2774 16421
213 9937 -16458
214 232 -4585
214 747 -4639
214 5028 11691
214 7281 -19412
214 8395 18716
214 8886 -18812
215 3862 -6846
215 4959 -16404
215 6961 -7420
215 8417 -5591
216 1806 18888
216 3289 16013
216 6191 -10613
216 8368 15333
216 9449 -3199
217 1540 -3537
217 2763 11288
217 2849 9181
218 4361 4960
218 9635 -16434
219 2494 12949
219 7245 -15038
219 8049 -13037
219 9988 -18070
220 4721 15829
220 7823 -12917
221 5042 -17970
221 5149 -4630
221 6137 -6265
222 1897 -16487
222 2922 -19295
222 9851 -7386
223 3003 -2603
223 5017 -14569
223 8965 9933
224 286 2797
224 2817 -13366
224 2861 17883
224 3998 8032
224 6125 -6911
224 9008 -3731
224 9236 14141
225 5561 6576
225 8506 -13771
226 2828 1965
226 7059 -15288
227 2237 13262
227 5083 8085
227 5212 17309
228 513 -7722
228 723 -18981
228 849 -12869
228 5063 -16346
228 7737 2847
229 1510 -11105
229 5158 9292
229 9831 -12767
230 7175 13052
230 7404 13622
230 8955 16035
230 9411 11548
231 986 -11662
231 7274 12287
231 7814 14958
231 8777 15382
231 9954 -13996
232 4133 13969
232 6407 -19141
232 7518 -9761
232 7908 1178
233 4835 10765
233 5151 -3134
233 5840 -12674
233 5846 13883
233 8560 -10540
233 8706 -11334
233 9538 2071
234 3223 -2973
234 4906 -5487
234 5450 -14133
234 5755 -16704
234 8608 10071
235 506 5831
235 4091 16759
235 6734 -14382
235 7285 691
235 9353 12004
236 1952 2446
236 4671 -370
236 6568 -9539
236 8963 4785
236 9035 -2522
236 9318 -1990
237 1012 14492
237 1486 17289
237 9926 -12888
238 2462 8288
238 3483 2746
238 3699 10948
238 7455 -19015
238 7829 -15026
239 1216 -18316
239 2098 -9828
239 3726 16046
239 3959 -6934
239 4476 -16500
240 323 1585
240 602 -15894
240 5806 13037
240 9631 -16189
241 536 14753
241 2028 -15243
241 6911 -7607
241 6933 -19898
242 721 -6871
242 6625 -4206
242 9779 4991
243 345 -6653
243 673 -3560
243 780 18727
243 5271 -12425
243 8448 -5806
243 8685 -3914
244 1804 3505
244 3933 16331
244 7106 -1350
245 3270 1429
245 7007 -2195
246 2659 -2147
246 4599 -8059
246 6027 -9980
246 7112 8374
247 875 348
247 1523 11802
247 2023 -16316
247 6906 11770
247 7050 -10498
247 7321 10545
248 6710 -16534
248 8947 -1382
249 1473 -15967
249 4931 -14127
249 7262 18054
250 7325 -5923
250 8541 -13023
250 9083 -12009
251 990 -10828
251 5553 5973
251 7771 8549
252 1738 8539
252 6090 -8644
253 324 3820
253 3473 -18522
253 7191 9146
254 2714 16497
254 4952 19365
254 5597 1781
254 8192 -3619
255 2538 -9408
255 2712 -8172
255 6792 -18712
255 6956 -7447
256 6205 7013
256 6588 -18335
256 7775 -10413
256 9193 16302
257 1590 19610
257 5058 16827
257 6333 -124
257 7460 -12057
257 9717 9240
258 1335 4122
258 2531 2513
258 3254 -4591
258 4148 -12875
258 6753 -1773
259 6260 -10021
259 6667 18273
259 7757 19273
259 8579 13485
260 1999 -5904
260 3588 6838
261 2525 17172
261 3117 9063
261 3554 15970
261 7257 14811
261 9234 -9954
261 9676 5791
262 4866 -3443
262 6876 -12771
262 8312 19391
263 2908 12130
263 8831 -12825
263 9835 -6591
264 731 -12195
264 1053 -11482
264 2512 -1933
264 2546 5849
264 5572 10015
264 7451 5294
264 9146 -9770
265 988 -19380
265 1340 5409
266 2813 19754
266 4658 -13236
266 5256 -9573
266 7362 -6956
267 4304 -2997
267 4516 4496
267 5850 -17891
267 6122 -10844
267 6200 5784
267 9924 -10273
268 4878 14199
268 5656 -8954
269 2583 -14447
269 4178 19556
270 5667 807
270 5887 -9951
270 8839 -7419
270 9670 1006
271 1197 -10953
271 5293 -14731
271 7212 8865
271 8340 3703
272 394 9317
272 4946 4541
272 9611 -18281
272 9762 -4082
273 311 11200
273 2122 6479
273 3683 -10290
273 9043 -19188
274 3597 -3708
274 9786 -19950
274 9943 -6982
275 537 -3928
275 2233 2549
275 6242 -9997
275 8955 13709
275 9477 3711
276 1737 10722
276 1960 -17036
276 6512 13524
276 8043 17554
277 919 6233
277 5231 15100
278 1264 -13441
278 1895 -4496
278 4041 11018
278 4760 -14096
278 4987 -12238
278 9412 7526
279 371 -9219
279 7909 -8556
280 3643 -1278
280 6491 17450
280 7819 6386
280 8027 -5977
280 8095 -9506
280 8222 -13871
281 881 12103
281 7854 10485
281 8512 -16029
282 619 14625
282 6231 -11302
282 7787 -19329
282 8290 -760
282 8424 15667
283 1437 4116
283 1572 -17053
283 5821 -4357
283 6142 -14801
283 9992 -5553
284 2422 -5107
284 2801 9677
284 5658 -657
285 2993 -7285
285 4557 -11687
285 5540 13917
286 4016 -11773
286 7254 -4506
286 7416 6496
287 293 1566
287 9442 7510
288 1100 -7862
288 5336 -3165
288 7797 5367
289 2231 -12680
289 3080 -3256
289 8173 4762
290 5276 -14392
290 6133 -19902
290 7978 -3320
291 854 -10331
291 6479 -14881
291 6686 -5244
292 5570 15976
292 7419 1317
292 7858 -15387
292 8490 12016
293 5453 14223
293 6540 17765
293 6722 4017
293 9430 9246
294 1101 -7266
294 6020 806
294 6952 -7240
294 8988 16100
295 2612 -2333
295 4922 -12085
295 6122 -10192
295 6702 10310
296 720 -6974
296 9540 4590
297 2561 19386
297 4359 11078
297 5145 -821
298 2396 5490
298 4649 10993
298 5201 -8243
299 7889 -5396
299 8192 -14267
299 9145 16234
300 1476 697
300 2690 3985
300 6620 14032
300 7495 -11040
301 1476 15214
301 3579 -2391
301 8204 -4260
301 9567 -12584
302 743 -239
302 3365 -14926
302 6110 -12206
302 7944 -2964
302 9828 -19114
303 495 -6502
303 7509 13574
303 9744 -7810
304 5772 13879
304 6718 -7438
304 9242 -5121
305 1758 15377
305 5762 -10703
305 7686 -5388
305 8816 -6053
306 1067 -6053
306 3410 -4390
306 4212 5399
306 8217 -10384
