10000 19996
0 3750 16456
0 6190 15219
0 7046 2966
0 7259 7649
1 155 16190
1 2681 4099
1 6165 19145
1 6704 19515
1 7423 1113
1 8757 1977
2 5365 15965
2 7430 5744
3 3204 16781
3 3479 5052
3 3495 7338
3 3648 4742
4 2292 18561
4 4606 13175
4 4742 12865
4 5576 13811
4 6476 4595
4 7258 7431
4 7726 15208
5 3100 1527
5 3323 2076
5 3327 10449
6 1934 18648
6 3735 18739
6 5425 4549
6 7838 12891
7 485 68
7 3596 3347
7 3756 15315
7 5887 19431
7 6555 778
8 4369 11215
8 5353 15750
8 5712 15982
9 4168 9368
9 4844 11977
9 6010 13085
10 255 7124
10 2286 10861
10 2986 78
10 5816 6323
10 8868 7665
11 737 15624
11 2326 2901
11 8988 12721
12 1914 5306
12 2106 981
12 3236 14485
12 3700 10985
13 1846 5688
13 4820 6026
13 7854 1648
13 8021 6509
13 8504 7437
14 441 19444
14 4616 7874
14 5071 8690
14 6586 8803
14 8220 11458
15 3325 14741
15 4489 9768
15 7558 286
16 3764 9802
16 4301 17003
16 7106 2028
17 1415 12511
17 5644 4669
17 9954 18022
18 1643 7643
18 2232 11114
18 8165 966
19 1149 4690
19 7641 5338
19 7695 2084
20 7878 6894
20 8291 8547
21 2280 8694
21 7934 12871
21 8029 6778
22 1776 19261
22 8412 7726
22 9347 12105
23 133 2691
23 272 13171
23 2555 16489
23 9062 10637
23 9562 2754
23 9770 5041
24 3931 14615
24 4913 11963
24 5623 778
24 7653 8864
25 3213 2932
25 6565 3798
25 7868 951
26 1477 5337
26 1879 14105
26 5240 17693
26 7671 18450
27 545 2424
27 875 19611
27 1662 13074
27 4646 17064
27 5152 7468
27 8626 10969
28 973 14342
28 3180 8767
28 9643 1843
29 3374 11797
29 3495 18152
29 5076 11603
29 8691 17781
30 404 8628
30 1137 505
30 5409 16269
31 1947 13549
31 2913 17970
31 7307 6599
31 9533 3917
32 1950 14565
32 3059 8722
32 5218 4937
33 3164 8689
33 9523 13114
34 7713 2513
34 8015 9997
34 8849 9948
35 487 7681
35 2496 322
35 5434 3628
35 7623 1321
36 3905 14834
36 5626 17099
36 6721 5983
36 7480 13379
37 2808 1609
37 2842 1829
37 8061 4828
38 1004 19218
38 1482 13430
38 2660 656
38 9619 18087
39 5407 8969
39 5677 3865
39 6936 11687
39 7639 16806
39 9579 7178
40 4566 19881
40 7293 16087
40 8307 15819
40 9202 7186
41 380 7465
41 1865 12421
41 4141 7913
41 7344 9379
42 180 2440
42 1639 1992
42 5552 18738
42 7922 16214
42 9665 12687
42 9902 12515
43 3453 15982
43 5435 10902
43 7258 4231
44 4439 1184
44 9527 758
45 534 14676
45 2190 13887
45 2197 9144
45 4782 11789
45 9443 10501
45 9501 298
46 5465 2126
46 6671 8526
46 8415 9530
46 8805 17462
46 9746 12422
47 2463 6419
47 2896 16300
47 6456 12256
47 6864 8485
47 7819 1505
47 9777 2486
48 1297 16855
48 6397 14643
48 7038 16230
48 9189 9500
48 9670 10080
49 3334 9578
49 4910 8189
50 707 9763
50 5958 15391
50 8721 13233
50 8855 19401
51 195 11687
51 333 19155
52 2463 11843
52 3901 2972
52 5500 14479
52 7096 279
52 9797 8073
52 9870 6612
53 665 13620
53 6759 3645
53 8808 14764
54 5269 1489
54 6147 11390
55 1379 16782
55 1391 16504
55 3563 6245
55 4740 11438
55 6310 4709
55 8503 3881
55 8642 18601
55 9076 17506
56 4619 8684
56 7389 11678
56 9775 905
57 4650 16637
57 5762 4076
57 6308 4737
57 7212 9867
57 8580 12122
58 1010 15841
58 4367 5767
58 9623 9514
59 458 17302
59 1870 18920
59 3912 15658
59 8714 13981
60 4270 1835
60 9339 14057
61 63 10251
61 404 7215
61 3848 13182
61 4280 17685
61 5045 8528
61 5802 8321
62 3745 1863
62 3783 13339
62 4871 4920
62 5292 16645
62 5888 18232
62 6997 8724
62 7466 14074
63 1202 18979
64 4814 2440
64 5735 1696
64 6767 10104
64 7555 8195
65 162 8121
65 1116 8170
65 1308 313
66 4292 12793
66 9806 5829
67 6758 9100
67 7118 12877
67 8184 12451
67 9830 15761
67 9959 16999
68 2788 16762
68 6211 5474
68 6423 4906
68 7651 78
68 9300 7993
69 4543 12814
69 6663 19151
69 7083 5914
70 2838 11546
70 7850 19454
70 8255 2438
70 8636 11736
71 929 3413
71 992 9663
71 3181 14742
72 2710 9398
72 6336 12574
72 6753 282
72 9443 11914
73 498 9563
73 1583 17877
73 6413 15925
73 7237 10373
74 1857 14655
74 3721 16331
74 7277 11948
75 2047 15835
75 4815 9723
75 6591 4476
75 7908 7989
75 9966 8169
76 1984 5902
76 6657 9190
76 7267 3827
77 2863 12406
77 4316 11391
77 8109 6050
78 1559 10350
78 5818 4843
79 4922 8932
79 6545 13006
79 7001 17961
79 8930 15394
80 3195 11889
80 8313 16660
81 3413 12015
81 5567 11749
81 5705 12332
81 9084 13646
82 789 3796
82 3015 10898
82 7964 14028
83 2453 12388
83 4165 9068
83 4879 12497
84 782 6364
84 864 17370
84 1153 17564
84 7287 10452
84 8782 16546
84 9356 7555
85 2932 12886
85 6987 8017
86 4429 15241
86 5559 18834
86 6840 10571
86 8431 19785
87 798 14751
87 8175 4216
87 8686 16028
87 8828 2810
87 9660 3492
88 6345 10407
88 8791 8743
89 532 12044
89 3091 16017
90 591 19986
90 5023 3507
91 369 14966
91 4632 6721
92 1132 9421
92 6458 14570
92 7659 18537
93 1521 2922
93 5323 2020
93 5719 15618
94 383 1139
94 2055 2854
94 2294 15611
94 4314 12915
94 6822 16984
94 8055 18907
94 8558 91
95 4178 14930
95 5271 7867
95 5532 19801
95 6648 16681
95 8944 2713
96 4721 4764
96 5080 9581
97 5833 9952
97 6372 1375
98 1117 8845
98 3335 2518
98 4029 16835
98 5969 15699
98 6234 4819
98 6400 19664
98 6585 16075
99 1566 7441
99 6742 8851
99 7031 15380
99 7089 16263
99 7951 3996
99 8239 11950
100 761 12154
100 1363 14570
100 2291 19405
100 2363 2790
100 3681 18724
100 7439 19745
100 8758 15406
100 9657 19570
101 328 17041
101 1487 6466
101 3023 18468
101 5711 15499
102 2124 13787
102 2718 15013
102 3265 10785
102 3921 4256
102 6705 15288
102 8262 15370
103 1416 15552
103 5175 13796
103 8395 13491
104 6206 1287
104 7757 19694
104 9715 4355
105 452 7795
105 3772 12283
105 3887 694
105 7448 3898
106 4465 17693
106 6841 10167
106 7428 5
107 2039 7542
107 5621 19167
107 7253 7037
107 8323 11636
108 2629 16271
108 3714 4772
108 4205 4041
108 9557 9175
109 1651 11053
109 6268 14624
109 6904 11150
109 7067 1306
109 9038 2190
110 8312 9060
110 9629 17846
110 9710 16132
111 1803 13595
111 1812 7021
111 2495 9388
111 2835 10237
111 4681 15367
111 5460 10188
112 829 17361
112 3963 14896
112 4060 10103
112 8963 14177
113 4028 11004
113 4229 7966
113 7722 1621
113 9124 12075
114 1903 18024
114 9198 16389
115 1033 5814
115 1193 9948
115 1531 789
115 6302 9612
115 7841 19860
116 465 12452
116 4447 12986
116 5299 6111
116 6523 5499
116 8314 1360
117 2822 17003
117 3669 13788
117 4466 15781
117 6851 1456
117 7735 3002
117 8967 8956
118 1137 4529
118 3760 5342
119 419 10966
119 446 2868
119 7400 3601
119 7727 2951
