10000 19999
0 5025 10567
0 6062 -12675
0 6540 9432
0 8418 4210
1 2435 15065
1 3148 -6091
1 7230 -460
1 8561 -14337
2 2259 17749
2 4781 16716
2 5667 -6476
2 6791 2317
3 1253 -17901
3 1880 15786
3 6092 -2416
3 6344 -3690
3 7931 -7674
4 1418 -2952
4 5178 -16601
4 9140 -18138
5 607 11822
5 695 -17225
5 6498 10131
6 221 19482
6 509 -232
6 1804 3678
6 3713 8115
7 1908 5734
7 2123 -19455
7 2907 10465
7 3126 19533
7 6478 -15966
8 2090 -2286
8 2562 -12956
8 2789 -9535
8 5296 -13351
8 5340 -14152
8 6086 -3072
8 9496 -17202
9 1833 -9495
9 2327 16534
9 3939 3945
9 5196 -2017
9 5472 12376
9 8969 509
9 9455 7859
9 9986 -5439
10 1131 -17761
10 8843 5036
11 2946 -17627
11 5941 -2641
11 9873 5571
12 1598 17203
12 1901 -17308
12 2878 -8271
13 3761 6309
13 6687 -10475
14 1234 17416
14 6377 -12275
14 9382 3974
15 4011 -10788
15 4232 19664
15 4384 112
16 2282 1517
16 2397 7027
16 6552 9703
16 6741 11741
17 1811 8573
17 3783 7667
17 4418 279
17 8226 -11681
18 1462 97
18 3442 17460
18 8456 -4886
19 207 -3524
19 4427 5264
19 4820 -17548
19 7982 14439
19 9169 -13319
20 2778 -6536
20 4857 -11447
20 5377 6027
20 9622 3968
20 9687 16630
21 1311 -17253
21 6335 10009
21 9384 468
22 3187 -11053
22 3694 949
22 4078 -16404
22 4419 16308
22 5915 -9991
23 3794 -19926
23 5037 -6693
23 5855 5343
23 9607 1354
24 2471 1020
24 6983 -1759
24 7491 -12311
24 8574 8705
25 1419 14694
25 3135 -15715
25 5625 -4007
25 6583 4625
25 7771 -19359
26 313 -19836
26 5228 11496
26 6604 1966
26 7319 11577
26 7409 -10771
26 7412 -5928
26 7951 5778
26 9127 5271
27 2693 9047
27 2765 9454
27 5422 -2352
27 6698 9613
27 7257 -16029
28 1771 1250
28 2611 3814
28 3287 -16469
28 6346 -12169
28 8281 14048
29 534 -16598
29 1977 -10433
29 2119 16755
29 2866 4863
29 3414 10156
29 4488 -18857
29 9719 -1265
30 883 -14913
30 2463 -14603
30 5754 -4195
30 8183 371
31 1949 916
31 2132 18483
31 6203 -16431
32 715 -3127
32 1742 -17428
32 1757 -3817
32 1985 6641
